errorCode,errorMessage,httpStatus
E000,알 수 없는 오류가 발생하였습니다.,500
E999,처리되지 않은 에러입니다.,500
--------------------------
E001,인증에 실패하였습니다.,401
E002,검증할 수 없는 토큰입니다.,401
E003,만료된 토큰입니다.,401
E004,재발급 토큰이 존재하지 않습니다.,404
E005,유효하지 않은 재발급 토큰입니다.,400
E006,만료된 재발급 토큰입니다.,400
E007,사용할 수 없는 재발급 토큰입니다.,400
E008,이벤트 변환에 실패했습니다.,500
E009,존재하지 않는 이벤트입니다.,404
--------------------------
E101,이메일 전송 실패.,500
E102,유효하지 않은 사용자입니다.,404
E103,이미 사용중인 이메일입니다.,400
E104,유효하지 않은 이메일 형식입니다.,400
E105,신청하지 않은 회원가입 요청 입니다.,400
E106,인증 번호가 만료되었거나 존재하지 않습니다.,400
E107,인증 번호가 올바르지 않습니다.,400
E108,유효하지 않은 또는 만료된 토큰입니다.,401
E109,만료된 인증 정보입니다.,400
E110,이메일 인증을 하지 않았습니다.,403
E111,가방의 최대 개수를 초과했습니다.,400
E112,이미 사용 중인 가방 이름입니다.,400
E113,가방을 찾을 수 없습니다.,404
E114,해당 가방은 사용자의 소유가 아닙니다.,403
E115,기본 가방은 삭제할 수 없습니다.,400
E116,가방에 아이템을 더 추가할 수 없습니다. 최대 20개까지 가능합니다.,400
E117,이미 사용 중인 아이템 이름입니다.,400
E118,아이템 개수 제한을 초과했습니다. 최대 50개까지 가능합니다.,400
E119,삭제할 아이템을 찾을 수 없습니다.,404
E120,해당 아이템은 사용자의 소유가 아닙니다.,403
--------------------------
E201,확인할 수 없는 이동입니다.,404
E202,이미 종료된 이동입니다.,400
E203,스냅샷을 불러오는 데 실패하였습니다.400
E204,변환할 수 없는 좌표 값입니다.,400
E205,확인할 수 없는 날짜입니다.,400
E206,선택한 경로들을 확인할 수 없습니다. 경로를 다시 지정해주세요.,400
--------------------------
E301,분실물이 존재하지 않습니다.,400
E302,제한 시간 내에 분실물을 등록할 수 없습니다.,400
E303,분실물 이미지가 존재하지 않습니다.,400
E304,이미지 제한 개수를 초과했습니다.,400
E305,이미 종료된 분실물입니다.,400
E306,조회할 수 있는 범위를 벗어났습니다.,400
E307,분실물을 조회할 권한이 없습니다.,403
E401,습득 날짜가 미래입니다.,400
E402,이미지는 필수입니다.,400
E403,카드나 신분증 사진이 포함되어 있습니다.,400
E404,습득물을 조회할 권한이 없습니다.,403
E405,이미지가 존재하지 않습니다.,400
E406,이미 종료된 습득물입니다.,400
E407,퀴즈를 풀지 않았습니다.,400
E408,이미 퀴즈를 풀었습니다.,400
E409,퀴즈가 존재하지 않습니다.,400
E410,습득물이 존재하지 않습니다.,400
E411,퀴즈를 생성할 권한이 없습니다.,403
E412,퀴즈를 생성할 이미지가 부족합니다.,400
E413,퀴즈를 생성한 사람은 퀴즈를 풀 수 없습니다.,400
E601,이미지 확장자가 잘못되었습니다.,400
E602,이미지 타입이 잘못되었습니다.,400
E603,이미지 저장에 실패했습니다.,500
E701,댓글이 존재하지 않습니다.,400
--------------------------
E801,존재하지 않는 알림입니다.,404
